tweet_id,tweet_text,year
655696229586833408,there’s hydrogen and helium then lithium beryllium boron carbon everywhere nitrogen all t secondlife sl,2015
648932547251040257,theres hydrogen and helium then lithium beryllium boron carbon everywhere nitrogen all through the air,2015
595438648138530816,got called the square in a meeting because i play the cya game mfw,2015
583130424471326720,in a hydrogen war ravaged society the nubile young women go down to a futuristic zoo and have sexual intercourse with various deformed,2015
656142309352939520,i am made of flesh lotsa carbon and hydrogen also other elements sorry,2015
675120624772235264,korea claims it has hydrogen bomb would this begin a new nuclear arms race like in wwii hist askahistorian,2015
555087698600660992,my bio teacher just screeched in my ear bc i said hydrogen bond  unamused face ,2015
647096422484045824,german military is soon to be equppied with hydrogen bombs worrying tendency,2015
625946835996139520,pharmacovigilance the reality of ichr,2015
638004094674841601,incredible facts hydrogen peroxide should be in every home,2015
558620799444484096,answer this biology question when ammonia and hydrogen ion bond together to form ammonium ion the bond formed,2015
638223172446216192,hydrogen peroxide as a cancer therapy,2015
579011209275510784,h hydrogenrich structured water gt build a business via,2015
629806705128423428,and we don’t think of stopping hydrogen peroxide there is no time we have lacked having a container of it it has been of great help,2015
604610181440208898,space photos of the week hydrogen poppin’ like champagne space photos of the week may the post space,2015
573948539778301953,incredible facts hydrogen peroxide should be in every home,2015
579852904586170368,hydrogen peroxide is a girls best friend,2015
575115652177993728,yah that alchohol that spilled in my car and then i went home and scrubbed my lips and face with hydrogen peroxide t get that hoe taste gone,2015
567081834157465600,this is what happens when blood meets hydrogen peroxide via,2015
627517863587389440,buy deals gtgt clear care hydrogen peroxide disinfecting solution twin pack …,2015
603383987474534400,research and markets thailand hydrogen peroxide market business report,2015
568239596829601793,my roommate is telling me to swish hydrogen peroxide in my mouth to get rid of canker sores this is why i never listen to him,2015
623673350095814656,diy pantry your comprehensive guide to hydrogen peroxide lemon baking soda and aromath…,2015
671890400458723328,theworldstories rt learnthings hydrogen peroxide mixed with potassium iodide via twit…,2015
656796490615025664,take a qtip dip it in a cap full of hydrogen peroxide and scrub on teeth leave on for seconds and then brush…,2015
631889262103760896,mad so to yung hydrogen peroxide dab it on your lips with a qtip and itll basically renew them by eating away olddead skin  folded hands medium light skin tone  mouth ,2015
610293642972925952,rt rt learnthings hydrogen peroxide mixed with potassium iodide,2015
610575512713449474,science news         check mark  sciencenews pneumonia bacteria deploy barrage of hydrogen peroxide to damage dna and cells…,2015
597502266136862720,hydrogen peroxide as bleach eats the nonstick coating on the ninja ck systm leaves white pockmarks,2015
562443626689482754,i need so hydrogen peroxide,2015
595020568123953153,unknown facts why hydrogen peroxide should be in every home,2015
605437447825190912,bandaid gauze hydrogen peroxide each at walgreens via the krazy coupon lady this week,2015
588940402989772801,reasons why you need hydrogen peroxide world,2015
599379702692851713,diy hydrogen peroxide how to clean naturally improve your health and much much more …,2015
633915285292998656,renowned for its use in hair bleaching and teeth whitening hydrogen peroxide is a strong oxidising agent that is,2015
658674701280104448,i use hydrogen peroxide before i brush my teeth idk if thats bad or not lol oh well,2015
563208549254594562,questiontwitter dont girls used hydrogen peroxide to help bleach their hair if thats the case then my friend is screwed,2015
574197782858330114,amazing benefits uses for hydrogen peroxide world,2015
680167668888961026,my dad just told me when im sleeping he is going to spray hydrogen peroxide on my hair so when i wake up its bleached,2015
597114766805598209,diy hydrogen peroxide how to clean naturally improve your health and much much more …,2015
573921252659888128,mix hydrogen peroxide baking soda and a squirt of dawn put in a squirt bottle its great for smelly dogs even,2015
555149188858912768,reasons why you need hydrogen peroxide,2015
627546613993635840,maude adverse event report walmart equate hydrogen peroxide cleaning and disinfecting lens care,2015
572091097075359745,my ap chem friend just told me hydrogen peroxide is rubbing alcohol good to know theyre learning great things in that class,2015
629891068536840193,hydrogen peroxide is death in a bottle,2015
634451181637513216,what most people dont know about hydrogen peroxide but should,2015
595613229599956992,might add that volume hydrogen peroxide but meh idk,2015
650904796233383936,hydrogen peroxide gaseous vapors technically these words shouldnt even rhyme off paper in theory for every,2015
611973591249326080,the trick to keeping synthetic estrogen out of the water might be hydrogen peroxide,2015
629780109155643392,use hydrogen peroxide as a cleaner for dirty grout how to content for cleaning professionals,2015
639812319476871168,chemicals reaction bistributyltin oxide and benzyl butyl phthalate and lead hydrogen arsenate and alkan,2015
581620365295783936,why do two hydrogen atoms fuse to deuterium and not an helium isotope without neutrons via raskscience,2015
571354836005834752,swag wet like hydrogen with mixed oxygen chiefln like an indian but i aint wearing moccasins,2015
675160772713046016,north korea claims it has hydrogen bomb,2015
553803809122557952,like you know hydrogenlightweight he gets drunk fast so hes hydrogen ok no,2015
641344918238068737,check this out hydrogen angel costa dj emerson remix by on soundcloud,2015
572058102167556096,magic medicine cabinet staple is incredibly handy magic medicine cabinet staple is incredibly handy hydrogen…,2015
611664694990864384,how does the power of hydrogen affect the state of our bodys alkalinity alkalinity,2015
673996781189881858,of colleges students said alkaline was an excess of hydrogen atoms on final what are they learning in their chemistry classes,2015
672937696394944512,please visit,2015
680704547535335424,chlorine hydrogen bonds yes they do exist compchem in,2015
577520929397469184,cradled in cosmic dust and glowing hydrogen stellar nurseries in orion the hunter lie at the edge,2015
646347943172182016,astrology professor how much would atmospheric hydrogen weigh student me laughs internally,2015
560973269122039808,fuck a sinus infection im in so much pain,2015
675071747788554244,north korea “we have hydrogen bombs…”,2015
675002449439162368,cnn north korea claims it has hydrogen bomb news,2015
673981781780115458,hydrogen how to make via,2015
674939018686017536,ajplus north korea’s kim jongun claims the country has a hydrogen bomb but south korean experts say he’s lying htt,2015
656192738782748672,us will clean area in spain where hydrogen bombs accidentally fell by raphael minder,2015
674986493950091265,report kim says nkorea has hydrogen bomb via,2015
561303740422955008,years ago president harry s truman announces the development program of the hydrogen bomb via,2015
674956828506107905,north korea has a hydrogen bomb says kim jongun,2015
674893030818754560,north koreas kim jong un claims country has hydrogen bomb,2015
675128991498551297,recent north korea claims it has hydrogen bomb,2015
674835270961762304,kim jongun says north korea has a hydrogen bomb,2015
675885378381864961,north korea hydrogen bomb calls into serious question made to protect the,2015
626847623228575745, airplane  wtc was demolished by pure hydrogen bomb【 america northkorea ronpaul gop,2015
556006307489394688,this allergic reaction blows mine like a hydrogen bomb,2015
674982117730750464,north koreas kim jong un claims country has hydrogen bomb,2015
636402040965480449,nuclear bombs like atom hydrogen bombs are not game of childrenall countries including nuclear power countries must understand seriously,2015
674418929062780929,i am a hydrogen bomb in a necktie,2015
583223989847347200,kenokeefe on the provision of hydrogen bombtechnology information to israel presstv the debate,2015
646987579884240896,morning folks sunrise is ondespite the fact that chris somehow managed to leave a large pen mark on the sleeve of my white blouse  eyes ,2015
582188898954158080,chemical bisethylhexyl hydrogen phosphate compound with diazabicyclooctane,2015
594925822399512576,the chemical composition of farts nitrogen hydrogen flammable carbon dioxide oxygen methane flammable,2015
656801254417539072,ayyan has apparently dyed her hair platinum,2015
612441699529457664,entirely hydrogen helium a giant gas bag,2015
609366485098758144,the pages on that stupid copper air hydrogen thing  loudly crying face  loudly crying face ,2015
629857907006242816,discover dentists registered  everything dental all in one place trade mark ,2015
562410318216065024,direct observation of ordered configurations of hydrogen adatoms on graphene dresearch,2015
611976262127464448,this balloon of hydrogen being exploded by a toy car,2015
581023263729434624,im listening to days go by hydrogen rockers vocal mix by dirty vegas on pandora,2015
584189923135131648,affirmation why do i enjoy producing copious amounts of bio fluids by generating enough hydrogen and breathing deeply ho megahydrate,2015
647201374254575616,research project rop on hyperbaric welding and hydrogen embrittlement sintef norway,2015
638803787675627520,hydrogen os v released download link via,2015
671082722689835008,hydrogen on top of insist on admit the highest quaint relative to yours passion play zdo,2015
665308789332008961,a classic formula for pi has been discovered hidden in hydrogen atoms,2015
583294643556655104,kammal k chemistry hai ho hydrogen oxygen water,2015
668491158272651264,i just need it to stop bein stupid i know its hydrogen but still is hydrogen smarterthananne wordfunk,2015
595069625198600192,revolutionary nanoparticle systems help purify water and generate hydrogen learnnano stemed,2015
566214276088492032,window fun fact hydrogen is not part of the fbi,2015
630441826948755456,natural gas pipeline from bc to chicago shut down due to hydrogen sulphide gas,2015
612124716589932544,my pull game weaker than hydrogen bonds,2015
666724079647350784,oxygen plzzzzzs i need fuckin air i also need two molecules of hydrogen and oxygen so i can hav sum water,2015
674840190431698944,north korean leader kim jongun says his country has a hydrogenbomb state media reports nuclearthreat,2015
573133091927162880,oxygen hypoxia to blame for starfish dieoff a symptom of worse to come fukushima,2015
614372741005897728,air products is a welding supply business they sell flammables like acetylene propylene propane and even hydrogen,2015
667271313099100160,a classic formula for pi has been discovered hidden in hydrogen atoms,2015
555466999875137536,beauties or beasts,2015
680791463182102528,i was trying to be kind i answered your poll by sharing my upsetting experience of sepsis you called me a troll,2015
565638447684386816,hydrogen generatorhhokit does inner man tables exhaust yardage rknzq,2015
568504225229086721,role of hydrogen sulfide in regulating blood pressure studied,2015
560823260037017600,hydrogensulfide could help lower bloodpressure,2015
594086650629623808,hydrogen improves neurological function through attenuation of bloodbrain barrier disruption in spontaneously…,2015
648014224342454274,so how many natural disasters happened in,2015
574002716776734720,i agree my patients will testify how much i recommend peroxide as a mouthrinse after some surgeries and even,2015
647466193402621952,science punches water goodbye fucking piece of shit hydrogen bonds,2015
570162549032939520,researchers study role of hydrogen sulfide in regulating blood pressure widely considered…,2015
602867528008798209,that show was lewd what is name,2015
618576621964910592,testing of a hydrogen bomb at bikini atoll,2015
613756703469735936,we could always make our own water for wete fet buy oxygen and hydrogen put it in a vaccum and add a spark,2015
565519085199720449,our bond is stronger than hydrogen and oxygen  winking face ,2015
577186321430626304,h for no h for hydrogen,2015
648924870693163009,test question what are the themes of geography dwinn nitrogen hydrogen oxygen,2015
674834198943895554,north koreas kim jongun hints the country has acquired hydrogen bomb capabilities,2015
639829456136327168,fun fact of the day if you put fire to oxygen and hydrogen gases it will explode,2015
